//npcId - npcX npcY npcPLane
//Vorkath
28059 - 2269 4062 0 5
//Summoning guy
6988 - 2208 5342 0
5083 - 2720 3805 1
//Snowy knight spawned by justin
5083 - 2736 3809 1
//Snowy knight spawned by justin
5083 - 2734 3825 1
//Sapphire glacialis spawned by justin
5084 - 2734 3825 1
//Sapphire glacialis spawned by justin
5084 - 2722 3836 1
//Sapphire glacialis spawned by justin
5084 - 2712 3823 1
//Sapphire glacialis spawned by justin
5084 - 2714 3811 1
//Sapphire glacialis spawned by justin
5084 - 2721 3806 1
//Olaf Hradson spawned by justin
2621 - 2724 3729 0
//null spawned by justin
7404 - 2736 3730 0
//Sabre-toothed kyatt spawned by justin
5103 - 2732 3795 0
//Sabre-toothed kyatt spawned by justin
5103 - 2734 3788 0
//Sapphire glacialis spawned by justin
5084 - 2726 3791 0
//Sapphire glacialis spawned by justin
5084 - 2725 3786 0
//Sapphire glacialis spawned by justin
5084 - 2731 3787 0
//Sapphire glacialis spawned by justin
5084 - 2729 3791 0
//Sapphire glacialis spawned by justin
5084 - 2720 3790 0
//Sapphire glacialis spawned by justin
5084 - 2721 3785 0
//Sapphire glacialis spawned by justin
5084 - 2732 3786 0
//Sapphire glacialis spawned by justin
5084 - 2726 3775 0
//Sapphire glacialis spawned by justin
5084 - 2715 3774 0
//Sapphire glacialis spawned by justin
5084 - 2710 3785 0
//Sapphire glacialis spawned by justin
5084 - 2729 3766 0
//Sabre-toothed kyatt spawned by justin
5103 - 2731 3776 0
//Sabre-toothed kyatt spawned by justin
5103 - 2736 3782 0
//Sabre-toothed kyatt spawned by justin
5103 - 2721 3786 0
//Sabre-toothed kyatt spawned by justin
5103 - 2727 3775 0
//Snowy knight spawned by justin
5083 - 2724 3783 0
//Snowy knight spawned by justin
5083 - 2723 3786 0
//Snowy knight spawned by justin
5083 - 2719 3791 0
//Snowy knight spawned by justin
5083 - 2718 3795 0
//Snowy knight spawned by justin
5083 - 2716 3794 0
//Snowy knight spawned by justin
5083 - 2716 3788 0
//Snowy knight spawned by justin
5083 - 2721 3774 0
//Snowy knight spawned by justin
5083 - 2724 3767 0
//Snowy knight spawned by justin
5083 - 2729 3765 0
//Cerulean twitch spawned by justin
5074 - 2735 3770 0
//Cerulean twitch spawned by justin
5074 - 2737 3772 0
//Cerulean twitch spawned by justin
5074 - 2733 3773 0
//Cerulean twitch spawned by justin
5074 - 2727 3773 0
//Cerulean twitch spawned by justin
5074 - 2718 3772 0
//Cerulean twitch spawned by justin
5074 - 2713 3774 0
//Cerulean twitch spawned by justin
5074 - 2719 3779 0
//Sabre-toothed kyatt spawned by justin
5103 - 2713 3783 0
//Sabre-toothed kyatt spawned by justin
5103 - 2706 3788 0
//Sabre-toothed kyatt spawned by justin
5103 - 2700 3790 0
//Sabre-toothed kebbit spawned by justin
5087 - 2699 3790 0
//Sabre-toothed kebbit spawned by justin
5087 - 2704 3793 0
//Sabre-toothed kebbit spawned by justin
5087 - 2707 3786 0
//Sabre-toothed kebbit spawned by justin
5087 - 2708 3777 0
//Sabre-toothed kebbit spawned by justin
5087 - 2711 3775 0
//Sabre-toothed kebbit spawned by justin
5087 - 2710 3773 0
//Sabre-toothed kebbit spawned by justin
5087 - 2715 3776 0
//Sabre-toothed kebbit spawned by justin
5087 - 2712 3781 0
//Sabre-toothed kebbit spawned by justin
5087 - 2719 3766 0
//Sabre-toothed kebbit spawned by justin
5087 - 2716 3767 0
//Sabre-toothed kebbit spawned by justin
5087 - 2713 3768 0
//Snowy knight spawned by justin
5083 - 2709 3783 0
//Snowy knight spawned by justin
5083 - 2703 3788 0
//Snowy knight spawned by justin
5083 - 2698 3789 0
//Snowy knight spawned by justin
5083 - 2699 3783 0
//Svidi spawned by justin
1809 - 2737 3658 0
//Black unicorn Foal spawned by justin
1329 - 2741 3647 0
//Black unicorn Foal spawned by justin
1329 - 2733 3668 0
//Black unicorn spawned by justin
133 - 2716 3666 0
//Black unicorn spawned by justin
133 - 2705 3675 0
//Black unicorn Foal spawned by justin
1329 - 2699 3662 0
//Black unicorn Foal spawned by justin
1329 - 2710 3665 0
//Bear Cub spawned by justin
1326 - 2704 3652 0
//Bear Cub spawned by justin
1327 - 2711 3648 0
//Bear Cub spawned by justin
1326 - 2715 3649 0
//Bear Cub spawned by justin
1327 - 2710 3640 0
//Bunny spawned by justin
1320 - 2733 3636 0
//Bunny spawned by justin
1320 - 2736 3638 0
//Bunny spawned by justin
1320 - 2740 3636 0
//Bunny spawned by justin
1320 - 2740 3634 0
//Bunny spawned by justin
1320 - 2738 3633 0
//Bunny spawned by justin
1321 - 2740 3636 0
//Bunny spawned by justin
1321 - 2742 3638 0
//Bunny spawned by justin
1321 - 2733 3639 0
//Bunny spawned by justin
1321 - 2735 3636 0
//Unicorn Foal spawned by justin
1328 - 2716 3613 0
//Unicorn spawned by justin
89 - 2720 3605 0
//Fox spawned by justin
1319 - 2720 3599 0
//Fox spawned by justin
1319 - 2730 3598 0
//Unicorn spawned by justin
89 - 2735 3612 0
//Unicorn Foal spawned by justin
1328 - 2738 3607 0
//Unicorn Foal spawned by justin
1328 - 2742 3598 0
//Golden sheep spawned by justin
5173 - 2766 3613 0
//Golden sheep spawned by justin
1271 - 2769 3611 0
//Golden sheep spawned by justin
1272 - 2764 3611 0
//Golden sheep spawned by justin
5173 - 2764 3613 0
//Golden sheep spawned by justin
1272 - 2767 3605 0
//Golden sheep spawned by justin
5172 - 2768 3604 0
//Golden sheep spawned by justin
5172 - 2762 3606 0
//Grizzly bear spawned by justin
105 - 2687 3617 0
//Fox spawned by justin
1319 - 2669 3610 0
//Fox spawned by justin
1319 - 2675 3615 0
//Fox spawned by justin
1319 - 2678 3609 0
//Fox spawned by justin
1319 - 2689 3609 0
//Fox spawned by justin
1319 - 2681 3624 0
//Fox spawned by justin
1319 - 2690 3604 0
//Bear Cub spawned by justin
1327 - 2697 3619 0
//Bear Cub spawned by justin
1326 - 2696 3612 0
//Bear Cub spawned by justin
1327 - 2691 3615 0
//Bear Cub spawned by justin
1326 - 2702 3614 0
//Fox spawned by justin
1319 - 2707 3604 0
//Warrior spawned by justin
1318 - 2619 3674 0
//null spawned by justin
2435 - 2621 3685 0
//null spawned by justin
413 - 2621 3688 0
//Sailor spawned by justin
1304 - 2629 3693 0
//Fishing spot spawned by justin
1331 - 2633 3694 0
//Fishing spot spawned by justin
1331 - 2633 3692 0
//Fishing spot spawned by justin
1331 - 2633 3690 0
//Warrior spawned by justin
1318 - 2667 3714 0
//Gull spawned by justin
1323 - 2643 3705 0
//Gull spawned by justin
1324 - 2638 3702 0
//Gull spawned by justin
1323 - 2636 3696 0
//Gull spawned by justin
1323 - 2645 3704 0
//Maria Gunnars spawned by justin
5508 - 2644 3710 0
//Mord Gunnars spawned by justin
5481 - 2644 3709 0
//Fishing spot spawned by justin
1333 - 2644 3708 0
//Fishing spot spawned by justin
1333 - 2640 3710 0
//Fishing spot spawned by justin
1333 - 2647 3708 0
//Hobgoblin spawned by justin
13246 - 2653 3719 0
//Hobgoblin spawned by justin
13246 - 2670 3728 0
//Hobgoblin spawned by justin
13246 - 2676 3730 0
//Hobgoblin spawned by justin
13246 - 2659 3734 0
//Hobgoblin spawned by justin
13246 - 2654 3729 0
//Fisherman spawned by justin
1302 - 2641 3699 0
//Fishing spot spawned by justin
1332 - 2641 3700 0
//Fishing spot spawned by justin
1332 - 2639 3698 0
//Fishing spot spawned by justin
1332 - 2639 3697 0
//Fishing spot spawned by justin
1332 - 2639 3695 0
//Market Guard spawned by justin
1317 - 2640 3689 0
//Market Guard spawned by justin
1317 - 2651 3684 0
//Market Guard spawned by justin
1317 - 2650 3675 0
//Market Guard spawned by justin
1317 - 2646 3676 0
//Market Guard spawned by justin
1317 - 2640 3675 0
//Market Guard spawned by justin
1317 - 2637 3670 0
//Sigmund The Merchant spawned by justin
1282 - 2641 3683 0
//Fur trader spawned by justin
1316 - 2640 3678 0
//Agnar spawned by justin
1305 - 2645 3673 0
//Fish monger spawned by justin
1315 - 2649 3671 0
//Warrior spawned by justin
1318 - 2648 3666 0
//Market Guard spawned by justin
1317 - 2631 3676 0
//Warrior spawned by justin
1318 - 2631 3681 0
//Warrior spawned by justin
1318 - 2630 3669 0
//Peer the Seer spawned by justin
1288 - 2633 3668 0
//Swensen the Navigator spawned by justin
1283 - 2645 3661 0
//null spawned by justin
1301 - 2625 3673 0
//Warrior spawned by justin
1318 - 2624 3664 0
//Warrior spawned by justin
1318 - 2630 3657 0
//null spawned by justin
1313 - 2626 3653 0
//Warrior spawned by justin
1318 - 2625 3658 0
//Warrior spawned by justin
1318 - 2627 3649 0
//Jennella spawned by justin
1312 - 2640 3651 0
//Fridgeir spawned by justin
1277 - 2659 3678 0
//Torbrund spawned by justin
1276 - 2658 3679 0
//Styrmir spawned by justin
1275 - 2657 3680 0
//Ospak spawned by justin
1274 - 2660 3680 0
//Lanzig spawned by justin
1308 - 2676 3666 0
//Warrior spawned by justin
1318 - 2683 3650 0
//Chicken spawned by justin
1017 - 2678 3662 0
//Rooster spawned by justin
1018 - 2679 3664 0
//Chicken spawned by justin
41 - 2679 3665 0
//Chicken spawned by justin
41 - 2681 3665 0
//Chicken spawned by justin
1017 - 2681 3662 0
//Blanin spawned by justin
2940 - 2673 3669 0
//Warrior spawned by justin
1318 - 2670 3675 0
//Inga spawned by justin
1314 - 2673 3675 0
//Freidir spawned by justin
1306 - 2677 3676 0
//Olaf the Bard spawned by justin
1269 - 2670 3682 0
//Warrior spawned by justin
1318 - 2672 3686 0
//Warrior spawned by justin
1318 - 2662 3687 0
//Warrior spawned by justin
1318 - 2667 3686 0
//Longhall Bouncer spawned by justin
1278 - 2667 3684 0
//Borrokar spawned by justin
1307 - 2681 3688 0
//Skulgrimen spawned by justin
1303 - 2664 3694 0
//Thorvald the Warrior spawned by justin
1289 - 2665 3691 0
//Warrior spawned by justin
1318 - 2671 3698 0
//Freygerd spawned by justin
1310 - 2667 3700 0
//Reeso spawned by justin
3116 - 2667 3703 0
//Dron spawned by justin
2939 - 2659 3699 0
//Volf Olafson spawned by justin
3695 - 2660 3696 0
//Musician spawned by justin
8717 - 2655 3694 0
//Manni the Reveller spawned by justin
1286 - 2659 3674 0
//Bjorn spawned by justin
1284 - 2657 3672 0
//Peter spawned by justin
13175 - 2657 3668 0
//Brundt the Chieftain spawned by justin
1294 - 2660 3668 0
//null spawned by justin
1300 - 2662 3672 0
//Eldgrim spawned by justin
1285 - 2656 3675 0
//Town Guard spawned by justin
1299 - 2663 3646 0
//Town Guard spawned by justin
1298 - 2660 3646 0
//Pontak spawned by justin
1309 - 2666 3652 0
//Sigli the Huntsman spawned by justin
1281 - 2661 3653 0
//Lensa spawned by justin
1311 - 2657 3653 0
//Warrior spawned by justin
1318 - 2667 3659 0
//Warrior spawned by justin
1318 - 2668 3664 0
//null spawned by justin
3696 - 2673 3661 0
//Askeladden spawned by justin
1295 - 2658 3660 0
//Guard spawned by justin
1296 - 2657 3663 0
//Guard spawned by justin
1297 - 2660 3663 0
//Wolf spawned by justin
95 - 2651 3585 0
//null spawned by justin
1287 - 2655 3592 0
//Baby impling spawned by justin
1028 - 2654 3601 0
//Fox spawned by justin
1319 - 2644 3611 0
//Fox spawned by justin
1319 - 2634 3617 0
//Fenris wolf spawned by justin
1330 - 2643 3626 0
//Fenris wolf spawned by justin
1330 - 2637 3627 0
//Fenris wolf spawned by justin
1330 - 2642 3617 0
//Fenris wolf spawned by justin
1330 - 2621 3624 0
//Fenris wolf spawned by justin
1330 - 2627 3636 0
//Fenris wolf spawned by justin
1330 - 2610 3629 0
//Fenris wolf spawned by justin
1330 - 2614 3641 0
//Fenris wolf spawned by justin
1330 - 2619 3644 0
//Fenris wolf spawned by justin
1330 - 2622 3646 0
//Fenris wolf spawned by justin
1330 - 2636 3636 0
//Fenris wolf spawned by justin
1330 - 2610 3636 0
//Warrior spawned by justin
1318 - 2648 3642 0
//null spawned by justin
1027 - 2697 3549 0
//Musician spawned by justin
8717 - 2657 3570 0
//Wolf spawned by justin
95 - 2651 3585 0
//Rat spawned by justin
47 - 2721 3587 0
//Tool leprechaun spawned by justin
7567 - 2671 3524 0
//null spawned by justin
7568 - 2671 3525 0
//null spawned by justin
2334 - 2667 3530 0
//Guard dog spawned by justin
99 - 2674 3501 0
//Guard dog spawned by justin
99 - 2666 3497 0
//Guard dog spawned by justin
99 - 2667 3485 0
//Guard dog spawned by justin
99 - 2647 3493 0
//Guard dog spawned by justin
99 - 2663 3472 0
//Guard dog spawned by justin
99 - 2656 3478 0
//Guard dog spawned by justin
99 - 2642 3476 0
//Guard dog spawned by justin
99 - 2628 3476 0
//Guard dog spawned by justin
99 - 2629 3490 0
//Guard dog spawned by justin
99 - 2631 3501 0
//Wolf spawned by justin
95 - 2721 3566 0
//Wolf spawned by justin
95 - 2713 3571 0
//Rat spawned by justin
47 - 2719 3568 0
//Butterfly spawned by justin
1280 - 2721 3583 0
//Hobbes spawned by justin
808 - 2737 3577 0
//null spawned by justin
6192 - 2734 3575 0
//null spawned by justin
6191 - 2739 3577 0
//null spawned by justin
6197 - 2741 3577 0
//Louisa spawned by justin
809 - 2739 3579 0
//null spawned by justin
6194 - 2734 3581 1
//Mary spawned by justin
810 - 2737 3578 1
//null spawned by justin
6191 - 2739 3580 1
//null spawned by justin
6196 - 2746 3581 1
//Donovan the Family Handyman spawned by justin
806 - 2743 3579 1
//Highwayman spawned by justin
180 - 2738 3538 0
//Gossip spawned by justin
813 - 2742 3553 0
//null spawned by justin
6193 - 2747 3559 0
//Guard spawned by justin
812 - 2741 3558 0
//Pierre spawned by justin
807 - 2750 3571 0
//Sinclair Guard dog spawned by justin
821 - 2749 3579 0
//Cow spawned by justin
81 - 2737 3566 0
//Chicken spawned by justin
41 - 2731 3566 0
//Rat spawned by justin
47 - 2734 3565 0
//Rat spawned by justin
47 - 2732 3572 0
//Rat spawned by justin
47 - 2728 3572 0
//Rat spawned by justin
47 - 2728 3577 0
//Stanford spawned by justin
811 - 2731 3577 0
//Chicken spawned by justin
41 - 2733 3558 0
//Chicken spawned by justin
41 - 2734 3557 0
//Chicken spawned by justin
1017 - 2735 3559 0
//Milk seller spawned by justin
11547 - 2737 3562 0
//null spawned by justin
5964 - 3323 3446 0
//null spawned by justin
3638 - 3309 3453 0
//Baby squirrel spawned by justin
7310 - 3314 3442 0
//Baby squirrel spawned by justin
6921 - 3311 3443 0
//Baby squirrel spawned by justin
7311 - 3303 3446 0
//Baby squirrel spawned by justin
7312 - 3302 3441 0
//Baby squirrel spawned by justin
7309 - 3303 3434 0
//Museum guard spawned by justin
5942 - 3295 3427 0
//Baby raccoon spawned by justin
6997 - 3310 3425 0
//Baby raccoon spawned by justin
7276 - 3314 3419 0
//Baby Raccoon spawned by justin
7275 - 3308 3416 0
//Baby Raccoon spawned by justin
7275 - 3304 3412 0
//Baby raccoon spawned by justin
7276 - 3312 3407 0
//Baby raccoon spawned by justin
6997 - 3313 3400 0
//Baby raccoon spawned by justin
7276 - 3313 3400 0
//Baby Raccoon spawned by justin
7275 - 3320 3395 0
//Camel spawned by justin
80 - 3308 3273 0
//Avan spawned by justin
663 - 3292 3280 0
//Ali the Leaflet Dropper spawned by justin
3680 - 3282 3323 0
//Musician spawned by justin
8701 - 3289 3339 0
//Rat Burgiss spawned by justin
5833 - 3268 3335 0
//Archaeological expert spawned by justin
619 - 3361 3340 0
//Examiner spawned by justin
618 - 3358 3337 0
//null spawned by justin
4566 - 3364 3341 0
//null spawned by justin
4567 - 3365 3338 0
//Researcher spawned by justin
4568 - 3366 3333 0
//null spawned by justin
4565 - 3350 3398 0
//Student spawned by justin
615 - 3360 3396 0
//Panning guide spawned by justin
620 - 3381 3381 0
//null spawned by justin
4569 - 3381 3379 0
//Nisha spawned by justin
4648 - 3376 3373 0
//null spawned by justin
613 - 3362 3414 0
//null spawned by justin
4565 - 3362 3406 0
//null spawned by justin
4564 - 3354 3410 0
//Student spawned by justin
616 - 3366 3416 0
//null spawned by justin
5958 - 3357 3416 0
//null spawned by justin
4564 - 3371 3417 0
//null spawned by justin
4565 - 3368 3422 0
//null spawned by justin
4564 - 3369 3432 0
//Elissa spawned by justin
1912 - 3377 3432 0
//Student spawned by justin
617 - 3347 3429 0
//Barge foreman spawned by justin
5963 - 3363 3445 0
//null spawned by justin
5952 - 3364 3443 0
//Barge workman spawned by justin
5961 - 3352 3446 0
//Barge workman spawned by justin
5962 - 3357 3446 0
//Barge workman spawned by justin
5960 - 3354 3449 0
//Barge workman spawned by justin
5959 - 3352 3449 0
//Captain Errdo spawned by justin
5249 - 3322 3431 0
//Millie Miller spawned by justin
3806 - 3168 3307 0
//Straven spawned by justin
644 - 3246 9780 0
//Thief spawned by justin
5928 - 3251 9776 0
//Thief spawned by justin
5926 - 3247 9776 0
//Thief spawned by justin
5929 - 3248 9772 0
//Thief spawned by justin
5927 - 3241 9769 0
//Thief spawned by justin
5926 - 3236 9766 0
//Giant rat spawned by justin
8829 - 3266 3385 0
//Giant rat spawned by justin
2091 - 3266 3382 0
//Bartender spawned by justin
732 - 3268 3393 0
//Hops spawned by justin
341 - 3266 3388 0
//Chancy spawned by justin
339 - 3271 3388 0
//Da Vinci spawned by justin
337 - 3272 3389 0
//Hooknosed Jack spawned by justin
2948 - 3267 3402 0
//Pox spawned by justin
2943 - 3267 3399 0
//null spawned by justin
664 - 3279 3405 0
//Fancy-dress shop owner spawned by justin
554 - 3282 3397 0
//Guidor's wife spawned by justin
342 - 3281 3383 0
//Guidor spawned by justin
343 - 3284 3382 0
//Cockroach soldier spawned by justin
7160 - 3171 4267 0
//Cockroach soldier spawned by justin
7160 - 3174 4262 0
//Cockroach soldier spawned by justin
7160 - 3173 4251 0
//Cockroach soldier spawned by justin
7160 - 3162 4249 0
//Cockroach soldier spawned by justin
7160 - 3156 4250 0
//Cockroach soldier spawned by justin
7160 - 3161 4238 0
//Cockroach soldier spawned by justin
7160 - 3161 4266 0
//Cockroach soldier spawned by justin
7160 - 3161 4276 0
//Cockroach soldier spawned by justin
7160 - 3150 4276 3
//Cockroach soldier spawned by justin
7160 - 3155 4277 3
//Cockroach soldier spawned by justin
7160 - 3153 4278 3
//Cockroach worker spawned by justin
7159 - 3166 4272 3
//Cockroach soldier spawned by justin
7160 - 3169 4267 3
//Cockroach worker spawned by justin
7159 - 3161 4266 3
//Cockroach worker spawned by justin
7159 - 3162 4253 3
//Cockroach worker spawned by justin
7159 - 3167 4249 3
//Cockroach worker spawned by justin
7159 - 3168 4242 3
//Cockroach worker spawned by justin
7159 - 3161 4229 3
//Cockroach worker spawned by justin
7159 - 3153 4226 3
//Cockroach worker spawned by justin
7159 - 3146 4239 3
//Cockroach worker spawned by justin
7159 - 3142 4242 3
//Cockroach worker spawned by justin
7159 - 3138 4244 3
//Cockroach worker spawned by justin
7159 - 3146 4253 3
//Cockroach worker spawned by justin
7159 - 3146 4258 3
//Cockroach worker spawned by justin
7159 - 3141 4266 3
//Cockroach worker spawned by justin
7159 - 3141 4272 3
//Cockroach worker spawned by justin
7159 - 3145 4265 1
//Cockroach worker spawned by justin
7159 - 3162 4265 1
//Cockroach worker spawned by justin
7159 - 3146 4260 1
//Cockroach worker spawned by justin
7159 - 3161 4259 1
//Cockroach worker spawned by justin
7159 - 3154 4259 1
//Cockroach worker spawned by justin
7159 - 3152 4252 1
//Cockroach worker spawned by justin
7159 - 3147 4248 1
//Cockroach worker spawned by justin
7159 - 3161 4247 1
//Cockroach drone spawned by justin
7158 - 3145 4241 1
//Cockroach worker spawned by justin
7159 - 3154 4241 1
//Cockroach drone spawned by justin
7158 - 3159 4241 1
//Cockroach drone spawned by justin
7158 - 3161 4241 1
//Cockroach drone spawned by justin
7158 - 3163 4240 1
//Cockroach drone spawned by justin
7158 - 3164 4242 1
//Cockroach drone spawned by justin
7158 - 3154 4230 1
//Cockroach worker spawned by justin
7159 - 3152 4235 1
//Cockroach drone spawned by justin
7158 - 3144 4235 1
//Cockroach drone spawned by justin
7158 - 3147 4236 1
//Cockroach drone spawned by justin
7158 - 3143 4236 1
//Cockroach drone spawned by justin
7158 - 3147 4234 1
//Cockroach drone spawned by justin
7158 - 3162 4235 1
//Cockroach drone spawned by justin
7158 - 3146 4231 1
//Cockroach drone spawned by justin
7158 - 3143 4230 1
//Cockroach drone spawned by justin
7158 - 3160 4230 1
//Cockroach soldier spawned by justin
7160 - 3176 4275 1
//Cockroach soldier spawned by justin
7160 - 3171 4279 1
//Cockroach soldier spawned by justin
7160 - 3165 4277 1
//Cockroach worker spawned by justin
7159 - 3145 4275 1
//Cockroach worker spawned by justin
7159 - 3144 4271 1
//Cockroach worker spawned by justin
7159 - 3152 4270 1
//Cockroach worker spawned by justin
7159 - 3150 4275 1
//Mugger spawned by justin
7161 - 3143 4231 2
//Mugger spawned by justin
7162 - 3141 4228 2
//Mugger spawned by justin
7162 - 3145 4231 2
//Mugger spawned by justin
7161 - 3144 4235 2
//Mugger spawned by justin
7161 - 3140 4237 2
//Mugger spawned by justin
7162 - 3140 4234 2
//Mugger spawned by justin
7161 - 3141 4240 2
//Mugger spawned by justin
7162 - 3145 4241 2
//Mugger spawned by justin
7162 - 3143 4245 2
//Cockroach drone spawned by justin
7158 - 3149 4252 2
//Cockroach drone spawned by justin
7158 - 3148 4251 2
//Cockroach drone spawned by justin
7158 - 3148 4254 2
//Cockroach drone spawned by justin
7158 - 3149 4253 2
//Cockroach drone spawned by justin
7158 - 3147 4255 2
//Cockroach drone spawned by justin
7158 - 3142 4254 2
//Cockroach drone spawned by justin
7158 - 3144 4256 2
//Cockroach drone spawned by justin
7158 - 3143 4260 2
//Cockroach drone spawned by justin
7158 - 3149 4263 2
//Cockroach drone spawned by justin
7158 - 3148 4262 2
//Cockroach drone spawned by justin
7158 - 3144 4265 2
//Cockroach drone spawned by justin
7158 - 3141 4265 2
//Cockroach drone spawned by justin
7158 - 3145 4265 2
//Cockroach drone spawned by justin
7158 - 3143 4264 2
//Cockroach drone spawned by justin
7158 - 3148 4270 2
//Cockroach drone spawned by justin
7158 - 3144 4270 2
//Cockroach drone spawned by justin
7158 - 3161 4270 2
//Cockroach drone spawned by justin
7158 - 3161 4266 2
//Cockroach drone spawned by justin
7158 - 3161 4264 2
//Cockroach drone spawned by justin
7158 - 3163 4266 2
//Cockroach drone spawned by justin
7158 - 3165 4264 2
//Cockroach drone spawned by justin
7158 - 3166 4266 2
//Cockroach drone spawned by justin
7158 - 3163 4259 2
//Cockroach drone spawned by justin
7158 - 3166 4259 2
//Cockroach drone spawned by justin
7158 - 3165 4255 2
//Cockroach drone spawned by justin
7158 - 3162 4254 2
//Cockroach drone spawned by justin
7158 - 3162 4251 2
//Cockroach drone spawned by justin
7158 - 3166 4248 2
//Cockroach drone spawned by justin
7158 - 3165 4245 2
//Cockroach drone spawned by justin
7158 - 3161 4245 2
//Cockroach drone spawned by justin
7158 - 3161 4241 2
//Cockroach drone spawned by justin
7158 - 3164 4240 2
//Cockroach drone spawned by justin
7158 - 3163 4242 2
//Cockroach drone spawned by justin
7158 - 3157 4239 2
//Cockroach drone spawned by justin
7158 - 3162 4236 2
//Cockroach drone spawned by justin
7158 - 3165 4235 2
//Cockroach drone spawned by justin
7158 - 3162 4234 2
//Cockroach drone spawned by justin
7158 - 3164 4232 2
//Cockroach drone spawned by justin
7158 - 3162 4229 2
//Cockroach worker spawned by justin
7159 - 3172 4230 2
//Cockroach worker spawned by justin
7159 - 3174 4236 2
//Cockroach drone spawned by justin
7158 - 3176 4237 2
//Cockroach worker spawned by justin
7159 - 3188 4236 2
//Cockroach soldier spawned by justin
7160 - 3191 4233 2
//Cockroach soldier spawned by justin
7160 - 3177 4246 2
//Cockroach soldier spawned by justin
7160 - 3177 4259 2
//Cockroach soldier spawned by justin
7160 - 3188 4255 2
//Cockroach soldier spawned by justin
7160 - 3189 4250 2
//Cockroach soldier spawned by justin
7160 - 3172 4268 2
//Unicorn spawned by justin
89 - 3098 3456 0
//Gublinchette jailmate spawned by justin
7145 - 3081 4252 0
//Guard spawned by justin
7142 - 3083 4245 0
//Gublinch jailmate spawned by justin
7147 - 3079 4245 0
//Gublinch jailmate spawned by justin
7150 - 3085 4241 0
//Gublinchette jailmate spawned by justin
7146 - 3079 4240 0
//Gublinch jailmate spawned by justin
7149 - 3085 4236 0
//Gublinch jailmate spawned by justin
7144 - 3085 4231 0
//Gublinch jailmate spawned by justin
7148 - 3078 4230 0
//Evil Dave spawned by justin
3378 - 3078 9887 0
//Seer spawned by justin
388 - 2713 3472 0
//Tramp spawned by justin
2793 - 2685 3484 0
//null spawned by justin
6139 - 2744 3478 0
//Sir Gawain spawned by justin
240 - 2765 3507 0
//Banker spawned by justin
494 - 2721 3495 0
//Banker spawned by justin
495 - 2722 3495 0
//Banker spawned by justin
494 - 2724 3495 0
//Banker spawned by justin
495 - 2727 3495 0
//Banker spawned by justin
495 - 2728 3495 0
//Banker spawned by justin
494 - 2729 3495 0
//Estate agent spawned by justin
4247 - 2738 3502 0
//Guard spawned by justin
5919 - 3240 3497 0
//Guard spawned by justin
5919 - 3246 3499 0
//Black Knight spawned by justin
178 - 3232 3515 0
//null spawned by justin
13482 - 3257 3518 0
//Black Knight spawned by justin
178 - 3278 3502 0
//Woman spawned by justin
5 - 3282 3501 0
//Man spawned by justin
3 - 3280 3499 0
//Thief spawned by justin
8 - 3285 3499 0
//Woman spawned by justin
5924 - 3277 3495 0
//null spawned by justin
5911 - 3285 3489 0
//null spawned by justin
5923 - 3283 3495 1
//Johnathon spawned by justin
668 - 3278 3504 1
//Guard spawned by justin
5919 - 3204 3495 1
//Guard spawned by justin
5919 - 3206 3497 1
//Guard spawned by justin
5919 - 3206 3495 1
//Guard spawned by justin
5919 - 3200 3496 1
//Captain Rovin spawned by justin
884 - 3202 3496 2
//Ambassador Ferrnook spawned by justin
4582 - 3216 3472 1
//Guard spawned by justin
5919 - 3219 3472 2
//Guard spawned by justin
5919 - 3211 3468 2
//Captain spawned by justin
5922 - 3211 3491 2
//Guard spawned by justin
5919 - 3221 3488 2
//Trainee Guard spawned by justin
5921 - 3217 3490 2
//Trainee Guard spawned by justin
5921 - 3215 3490 2
//Trainee Guard spawned by justin
5921 - 3213 3490 2
//Trainee Guard spawned by justin
5921 - 3211 3490 2
//Trainee Guard spawned by justin
5921 - 3209 3490 2
//Aeonisig Raispher spawned by justin
4710 - 3221 3474 0
//Clive spawned by justin
8174 - 3203 3479 0
//Warrior woman spawned by justin
15 - 3203 3487 0
//Warrior woman spawned by justin
15 - 3206 3488 0
//Guard spawned by justin
5919 - 3205 3492 0
//null spawned by justin
647 - 3208 3496 0
//null spawned by justin
5853 - 3210 3495 0
//Queen Ellan spawned by justin
2581 - 3230 3478 0
//Treznor spawned by justin
2341 - 3228 3456 0
//Guard spawned by justin
5919 - 3220 3462 0
//Guard spawned by justin
5919 - 3211 3457 0
//Guard spawned by justin
5919 - 3209 3463 0
//Guard spawned by justin
5919 - 3211 3465 0
//Guard spawned by justin
5919 - 3213 3461 0
//Guard spawned by justin
5919 - 3215 3465 0
//Monk of Zamorak spawned by justin
189 - 3213 3476 0
//null spawned by justin
9359 - 3204 3473 0
//King Roald spawned by justin
648 - 3221 3472 0
//Father Lawrence spawned by justin
640 - 3254 3484 0
//Martina Scorsby spawned by justin
3326 - 3256 3481 0
//Horvik spawned by justin
549 - 3230 3434 0
//Herald of Varrock spawned by justin
13938 - 3240 3433 0
//Xuan spawned by justin
13727 - 3208 3432 0
//Guard spawned by justin
13971 - 3212 3437 0
//Thief spawned by justin
5928 - 3183 3392 0
//Thief spawned by justin
5929 - 3187 3392 0
//Thief spawned by justin
5926 - 3183 3385 0
//Katrine spawned by justin
642 - 3185 3386 0
